kalimat,label
keluar duit 250.000,pengeluaran
event donasi masuk 5000,pemasukan
duit masuk 20rb,pemasukan
100k buat handphone,pengeluaran
membeli 20rb,pengeluaran
komisi uang 50.000 dari endorse,pemasukan
narik uang BBM 5.000.000,pengeluaran
keluar duit 5000,pengeluaran
refund 5000,pemasukan
klien refund 2jt,pemasukan
20rb buat BBM,pengeluaran
keluar duit 10 ribu,pengeluaran
gaji uang 50.000 dari konten youtube,pemasukan
keluar duit 5000,pengeluaran
keluar uang 2jt,pengeluaran
keluar duit 5000,pengeluaran
teman pendapatan 10 ribu,pemasukan
5.000.000 buat pulsa,pengeluaran
pemasukan 1 juta,pemasukan
duit masuk 5000,pemasukan
hadiah 20rb,pemasukan
biaya komputer 250.000,pengeluaran
endorse uang kembali 5000,pemasukan
membeli handphone 10 ribu,pengeluaran
klien dikasih 5.000.000,pemasukan
bonus uang 20rb dari donatur,pemasukan
isi saldo 2jt,pengeluaran
bos refund 5.000.000,pemasukan
top up mobil 2jt,pengeluaran
keluar duit 2jt,pengeluaran
freelance menerima 50.000,pemasukan
keluar duit 5000,pengeluaran
50.000 untuk membayar wifi,pengeluaran
keluar duit 750 ribu,pengeluaran
teman donasi masuk 50.000,pemasukan
bonus uang 750 ribu dari donatur,pemasukan
menjual uang 100k dari teman,pemasukan
10 ribu dari freelance sebagai menerima,pemasukan
duit masuk 100k,pemasukan
komisi 5000,pemasukan
750 ribu dari bos sebagai uang kembali,pemasukan
klien transfer masuk 1 juta,pemasukan
100k dari jualan online sebagai terima,pemasukan
50.000 untuk membeli token listrik,pengeluaran
keluar duit 10 ribu,pengeluaran
narik uang 5.000.000,pengeluaran
proyek hadiah 5000,pemasukan
250.000 buat nasi goreng,pengeluaran
narik uang buku 10 ribu,pengeluaran
dapat 250.000,pemasukan
100k buat sepatu,pengeluaran
habis untuk 750 ribu,pengeluaran
50.000 dari orang tua sebagai menang,pemasukan
duit masuk 50.000,pemasukan
20rb dari bos sebagai pemasukan,pemasukan
toko menerima 100k,pemasukan
beli 1 juta,pengeluaran
dikasih uang 1 juta dari konten youtube,pemasukan
membayar 2jt,pengeluaran
20rb buat pulsa,pengeluaran
keluar duit 10 ribu,pengeluaran
750 ribu buat baju,pengeluaran
kirim 1 juta,pengeluaran
100k buat air,pengeluaran
5.000.000 untuk habis untuk komputer,pengeluaran
1 juta buat air,pengeluaran
dapat 750 ribu,pemasukan
10 ribu dari bos sebagai pendapatan,pemasukan
2jt untuk biaya BBM,pengeluaran
duit masuk 10 ribu,pemasukan
duit masuk 750 ribu,pemasukan
keluar duit 50.000,pengeluaran
5000 untuk habis untuk token listrik,pengeluaran
terima uang 750 ribu dari teman,pemasukan
uang kembali uang 100k dari endorse,pemasukan
1 juta buat listrik,pengeluaran
keluar duit 10 ribu,pengeluaran
trading hadiah 2jt,pemasukan
750 ribu dari jualan online sebagai menang,pemasukan
2jt dari orang tua sebagai bonus,pemasukan
orang tua dapat 1 juta,pemasukan
hasil jual 750 ribu,pemasukan
gaji 100k,pemasukan
2jt dari konten youtube sebagai dikasih,pemasukan
2jt untuk donasi keluar token listrik,pengeluaran
klien dikasih 20rb,pemasukan
duit masuk 10 ribu,pemasukan
duit masuk 1 juta,pemasukan
beli 100k,pengeluaran
jualan online donasi masuk 1 juta,pemasukan
transfer 50.000,pengeluaran
duit masuk 100k,pemasukan
keluar duit 250.000,pengeluaran
endorse menerima 1 juta,pemasukan
keluar duit 2jt,pengeluaran
duit masuk 1 juta,pemasukan
dapat uang 5000 dari orang tua,pemasukan
duit masuk 250.000,pemasukan
1 juta buat mobil,pengeluaran
donasi masuk 750 ribu,pemasukan
hadiah 250.000,pemasukan
5000 buat mobil,pengeluaran
1 juta untuk membeli listrik,pengeluaran
750 ribu dari toko sebagai hasil jual,pemasukan
menerima uang 250.000 dari bos,pemasukan
jualan online gaji 50.000,pemasukan
spend 1 juta,pengeluaran
1 juta dari jualan online sebagai dapat,pemasukan
keluar duit 100k,pengeluaran
dapat uang 5.000.000 dari klien,pemasukan
top up pulsa 20rb,pengeluaran
tarik tunai wifi 50.000,pengeluaran
dikasih uang 20rb dari event,pemasukan
750 ribu dari orang tua sebagai dikasih,pemasukan
bayar 5.000.000,pengeluaran
isi saldo token listrik 100k,pengeluaran
5.000.000 untuk transfer pulsa,pengeluaran
ongkos 1 juta,pengeluaran
duit masuk 5000,pemasukan
5.000.000 untuk pengeluaran listrik,pengeluaran
dapat 50.000,pemasukan
keluar uang game online 20rb,pengeluaran
menang 750 ribu,pemasukan
250.000 dari event sebagai transfer masuk,pemasukan
dapat uang 1 juta dari klien,pemasukan
pemasukan uang 5000 dari teman,pemasukan
gaji 750 ribu,pemasukan
tarik tunai tas 750 ribu,pengeluaran
membeli 10 ribu,pengeluaran
sumbangan 10 ribu,pengeluaran
transfer masuk uang 5.000.000 dari teman,pemasukan
hadiah uang 50.000 dari orang tua,pemasukan
2jt untuk top up game online,pengeluaran
donatur bonus 2jt,pemasukan
5.000.000 untuk spend pulsa,pengeluaran
5.000.000 dari trading sebagai terima,pemasukan
teman uang kembali 5.000.000,pemasukan
duit masuk 5000,pemasukan
orang tua donasi masuk 1 juta,pemasukan
transfer masuk 1 juta,pemasukan
5000 buat mobil,pengeluaran
hadiah uang 10 ribu dari toko,pemasukan
toko hadiah 20rb,pemasukan
duit masuk 50.000,pemasukan
dapat uang 250.000 dari jualan online,pemasukan
isi saldo 50.000,pengeluaran
duit masuk 100k,pemasukan
5000 buat token listrik,pengeluaran
ongkos 5.000.000,pengeluaran
keluar uang listrik 5000,pengeluaran
20rb untuk keluar uang buku,pengeluaran
ongkos BBM 750 ribu,pengeluaran
pengeluaran mobil 5.000.000,pengeluaran
top up nasi goreng 2jt,pengeluaran
trading bonus 5000,pemasukan
2jt dari donatur sebagai refund,pemasukan
5000 buat BBM,pengeluaran
keluar duit 750 ribu,pengeluaran
250.000 untuk habis untuk parkir,pengeluaran
100k untuk narik uang sepatu,pengeluaran
20rb dari donatur sebagai dapat,pemasukan
dapat uang 100k dari toko,pemasukan
membayar jajanan 750 ribu,pengeluaran
investasi hasil jual 1 juta,pemasukan
5.000.000 untuk tarik tunai token listrik,pengeluaran
duit masuk 1 juta,pemasukan
250.000 dari freelance sebagai transfer masuk,pemasukan
sumbangan pulsa 50.000,pengeluaran
5000 buat listrik,pengeluaran
bayar 2jt,pengeluaran
50.000 dari investasi sebagai dikasih,pemasukan
membayar handphone 750 ribu,pengeluaran
keluar duit 750 ribu,pengeluaran
2jt untuk sumbangan motor,pengeluaran
duit masuk 5.000.000,pemasukan
menjual 5000,pemasukan
freelance terima 5.000.000,pemasukan
100k dari konten youtube sebagai donasi masuk,pemasukan
keluar duit 1 juta,pengeluaran
donatur menerima 750 ribu,pemasukan
keluar uang 10 ribu,pengeluaran
keluar duit 5.000.000,pengeluaran
menerima 5.000.000,pemasukan
event menerima 1 juta,pemasukan
kerja part-time menang 10 ribu,pemasukan
1 juta dari endorse sebagai transfer masuk,pemasukan
hadiah 100k,pemasukan
freelance refund 5.000.000,pemasukan
50.000 untuk bayar listrik,pengeluaran
membayar 20rb,pengeluaran
pemasukan 750 ribu,pemasukan
50.000 dari bos sebagai bonus,pemasukan
2jt buat BBM,pengeluaran
orang tua ditransfer 2jt,pemasukan
biaya air 1 juta,pengeluaran
endorse terima 100k,pemasukan
5000 buat komputer,pengeluaran
duit masuk 20rb,pemasukan
keluar duit 10 ribu,pengeluaran
duit masuk 2jt,pemasukan
duit masuk 250.000,pemasukan
1 juta untuk ongkos listrik,pengeluaran
keluar duit 2jt,pengeluaran
proyek hasil jual 100k,pemasukan
hadiah 750 ribu,pemasukan
donasi keluar 2jt,pengeluaran
menerima uang 10 ribu dari investasi,pemasukan
keluar duit 10 ribu,pengeluaran
100k dari toko sebagai terima,pemasukan
kirim 5.000.000,pengeluaran
250.000 buat pulsa,pengeluaran
teman ditransfer 50.000,pemasukan
dikasih uang 5.000.000 dari konten youtube,pemasukan
100k untuk narik uang es kopi,pengeluaran
menang uang 20rb dari konten youtube,pemasukan
menang uang 10 ribu dari event,pemasukan
ditransfer uang 10 ribu dari jualan online,pemasukan
5000 dari endorse sebagai komisi,pemasukan
dikasih uang 1 juta dari teman,pemasukan
sumbangan parkir 1 juta,pengeluaran
keluar uang 2jt,pengeluaran
keluar duit 5.000.000,pengeluaran
keluar duit 2jt,pengeluaran
beli 1 juta,pengeluaran
donasi keluar 2jt,pengeluaran
refund 5000,pemasukan
keluar duit 10 ribu,pengeluaran
gaji uang 50.000 dari toko,pemasukan
menerima 5000,pemasukan
keluar uang 5.000.000,pengeluaran
menang 2jt,pemasukan
2jt dari jualan online sebagai refund,pemasukan
proyek donasi masuk 5000,pemasukan
sumbangan 250.000,pengeluaran
1 juta buat paket data,pengeluaran
10 ribu buat es kopi,pengeluaran
kerja part-time terima 1 juta,pemasukan
pengeluaran 5000,pengeluaran
donasi keluar 100k,pengeluaran
donasi keluar motor 2jt,pengeluaran
2jt dari toko sebagai komisi,pemasukan
spend wifi 100k,pengeluaran
orang tua hasil jual 1 juta,pemasukan
bayar 50.000,pengeluaran
duit masuk 1 juta,pemasukan
1 juta untuk donasi keluar nasi goreng,pengeluaran
toko transfer masuk 50.000,pemasukan
donasi masuk 750 ribu,pemasukan
beli air 100k,pengeluaran
gaji 50.000,pemasukan
pemasukan uang 100k dari proyek,pemasukan
proyek terima 10 ribu,pemasukan
teman transfer masuk 20rb,pemasukan
5.000.000 untuk transfer token listrik,pengeluaran
keluar duit 100k,pengeluaran
terima 1 juta,pemasukan
bonus 10 ribu,pemasukan
transfer masuk uang 250.000 dari proyek,pemasukan
keluar duit 250.000,pengeluaran
10 ribu dari bos sebagai pemasukan,pemasukan
keluar uang motor 10 ribu,pengeluaran
hasil jual 100k,pemasukan
komisi 5.000.000,pemasukan
spend buku 250.000,pengeluaran
menang 750 ribu,pemasukan
komisi uang 100k dari toko,pemasukan
keluar duit 50.000,pengeluaran
2jt untuk membeli mobil,pengeluaran
50.000 buat tas,pengeluaran
donasi keluar wifi 1 juta,pengeluaran
dikasih 50.000,pemasukan
keluar duit 1 juta,pengeluaran
pemasukan 100k,pemasukan
transfer masuk 20rb,pemasukan
narik uang paket data 100k,pengeluaran
endorse hadiah 10 ribu,pemasukan
konten youtube pendapatan 5000,pemasukan
keluar duit 5.000.000,pengeluaran
duit masuk 5000,pemasukan
250.000 buat pulsa,pengeluaran
keluar duit 250.000,pengeluaran
keluar duit 1 juta,pengeluaran
keluar uang paket data 250.000,pengeluaran
duit masuk 1 juta,pemasukan
50.000 dari event sebagai komisi,pemasukan
orang tua ditransfer 1 juta,pemasukan
duit masuk 1 juta,pemasukan
donasi keluar es kopi 10 ribu,pengeluaran
keluar duit 250.000,pengeluaran
250.000 dari orang tua sebagai gaji,pemasukan
250.000 buat token listrik,pengeluaran
keluar duit 2jt,pengeluaran
bayar wifi 5000,pengeluaran
bayar 5000,pengeluaran
250.000 buat jajanan,pengeluaran
5.000.000 dari freelance sebagai menerima,pemasukan
keluar duit 10 ribu,pengeluaran
duit masuk 250.000,pemasukan
isi saldo motor 5.000.000,pengeluaran
10 ribu untuk bayar game online,pengeluaran
duit masuk 1 juta,pemasukan
keluar uang ayam geprek 10 ribu,pengeluaran
terima uang 1 juta dari donatur,pemasukan
1 juta untuk bayar jajanan,pengeluaran
spend 1 juta,pengeluaran
bonus 2jt,pemasukan
habis untuk listrik 5.000.000,pengeluaran
freelance transfer masuk 5000,pemasukan
uang kembali uang 10 ribu dari proyek,pemasukan
kerja part-time refund 750 ribu,pemasukan
dikasih uang 250.000 dari klien,pemasukan
duit masuk 10 ribu,pemasukan
konten youtube komisi 5000,pemasukan
spend 250.000,pengeluaran
20rb buat air,pengeluaran
pengeluaran game online 50.000,pengeluaran
50.000 untuk ongkos nasi goreng,pengeluaran
keluar duit 5000,pengeluaran
10 ribu untuk bayar token listrik,pengeluaran
bonus 50.000,pemasukan
duit masuk 100k,pemasukan
20rb dari donatur sebagai bonus,pemasukan
duit masuk 2jt,pemasukan
dapat 1 juta,pemasukan
10 ribu untuk habis untuk baju,pengeluaran
jualan online refund 250.000,pemasukan
5.000.000 buat BBM,pengeluaran
bos hasil jual 5.000.000,pemasukan
jualan online ditransfer 50.000,pemasukan
keluar duit 2jt,pengeluaran
duit masuk 20rb,pemasukan
10 ribu untuk membeli parkir,pengeluaran
tarik tunai 750 ribu,pengeluaran
5.000.000 untuk transfer motor,pengeluaran
pemasukan uang 5000 dari endorse,pemasukan
5.000.000 dari orang tua sebagai hadiah,pemasukan
5000 dari konten youtube sebagai terima,pemasukan
menang uang 100k dari orang tua,pemasukan
habis untuk es kopi 2jt,pengeluaran
100k buat tas,pengeluaran
ongkos paket data 2jt,pengeluaran
refund 20rb,pemasukan
50.000 buat paket data,pengeluaran
transfer 5.000.000,pengeluaran
gaji uang 5000 dari jualan online,pemasukan
bayar parkir 10 ribu,pengeluaran
transfer masuk 750 ribu,pemasukan
duit masuk 10 ribu,pemasukan
2jt untuk habis untuk air,pengeluaran
kirim 10 ribu,pengeluaran
investasi pendapatan 2jt,pemasukan
transfer 5.000.000,pengeluaran
duit masuk 1 juta,pemasukan
duit masuk 5000,pemasukan
250.000 dari konten youtube sebagai hadiah,pemasukan
20rb untuk pengeluaran jajanan,pengeluaran
freelance bonus 750 ribu,pemasukan
keluar duit 5000,pengeluaran
1 juta buat sepatu,pengeluaran
proyek pendapatan 50.000,pemasukan
750 ribu buat game online,pengeluaran
pemasukan 20rb,pemasukan
duit masuk 50.000,pemasukan
narik uang 1 juta,pengeluaran
10 ribu buat pulsa,pengeluaran
komisi uang 750 ribu dari donatur,pemasukan
tarik tunai 250.000,pengeluaran
duit masuk 100k,pemasukan
keluar duit 1 juta,pengeluaran
event menerima 50.000,pemasukan
hadiah 20rb,pemasukan
biaya wifi 1 juta,pengeluaran
duit masuk 10 ribu,pemasukan
keluar duit 2jt,pengeluaran
keluar duit 5.000.000,pengeluaran
donasi keluar 100k,pengeluaran
keluar duit 250.000,pengeluaran
keluar duit 250.000,pengeluaran
5000 dari donatur sebagai transfer masuk,pemasukan
top up 5000,pengeluaran
keluar duit 2jt,pengeluaran
keluar duit 100k,pengeluaran
2jt buat motor,pengeluaran
gaji uang 2jt dari kerja part-time,pemasukan
sumbangan pulsa 2jt,pengeluaran
duit masuk 5.000.000,pemasukan
keluar duit 5.000.000,pengeluaran
1 juta buat BBM,pengeluaran
hasil jual 20rb,pemasukan
keluar duit 100k,pengeluaran
2jt dari event sebagai dapat,pemasukan
proyek komisi 5.000.000,pemasukan
konten youtube dikasih 250.000,pemasukan
menang 5000,pemasukan
hadiah uang 1 juta dari proyek,pemasukan
transfer masuk uang 250.000 dari freelance,pemasukan
1 juta untuk kirim buku,pengeluaran
10 ribu untuk habis untuk pulsa,pengeluaran
keluar duit 50.000,pengeluaran
1 juta dari proyek sebagai ditransfer,pemasukan
250.000 buat tas,pengeluaran
gaji uang 20rb dari proyek,pemasukan
top up 5000,pengeluaran
5000 dari investasi sebagai menjual,pemasukan
habis untuk token listrik 20rb,pengeluaran
20rb untuk isi saldo baju,pengeluaran
jualan online menang 20rb,pemasukan
keluar duit 20rb,pengeluaran
10 ribu buat baju,pengeluaran
kerja part-time dapat 1 juta,pemasukan
dapat 1 juta,pemasukan
uang kembali uang 50.000 dari orang tua,pemasukan
5000 buat paket data,pengeluaran
uang kembali 750 ribu,pemasukan
klien bonus 50.000,pemasukan
keluar duit 250.000,pengeluaran
orang tua menang 5.000.000,pemasukan
10 ribu buat nasi goreng,pengeluaran
50.000 dari bos sebagai transfer masuk,pemasukan
2jt buat tas,pengeluaran
refund uang 750 ribu dari trading,pemasukan
pemasukan uang 5.000.000 dari trading,pemasukan
spend 100k,pengeluaran
50.000 dari toko sebagai hasil jual,pemasukan
narik uang nasi goreng 100k,pengeluaran
transfer jajanan 50.000,pengeluaran
20rb untuk spend parkir,pengeluaran
100k dari proyek sebagai hasil jual,pemasukan
100k untuk sumbangan handphone,pengeluaran
duit masuk 5000,pemasukan
hadiah 2jt,pemasukan
1 juta buat paket data,pengeluaran
toko uang kembali 750 ribu,pemasukan
top up 10 ribu,pengeluaran
5000 untuk transfer es kopi,pengeluaran
konten youtube transfer masuk 10 ribu,pemasukan
1 juta dari proyek sebagai pendapatan,pemasukan
10 ribu buat pulsa,pengeluaran
2jt untuk keluar uang listrik,pengeluaran
100k buat air,pengeluaran
100k untuk habis untuk motor,pengeluaran
beli 20rb,pengeluaran
duit masuk 750 ribu,pemasukan
keluar duit 750 ribu,pengeluaran
konten youtube uang kembali 5.000.000,pemasukan
50.000 dari jualan online sebagai donasi masuk,pemasukan
1 juta buat nasi goreng,pengeluaran
5000 untuk keluar uang es kopi,pengeluaran
isi saldo 100k,pengeluaran
transfer 1 juta,pengeluaran
750 ribu buat mobil,pengeluaran
keluar duit 1 juta,pengeluaran
250.000 buat parkir,pengeluaran
duit masuk 100k,pemasukan
spend komputer 20rb,pengeluaran
hasil jual uang 5000 dari donatur,pemasukan
menjual 5.000.000,pemasukan
toko menerima 20rb,pemasukan
membayar 1 juta,pengeluaran
10 ribu dari teman sebagai bonus,pemasukan
1 juta buat parkir,pengeluaran
keluar duit 2jt,pengeluaran
1 juta dari proyek sebagai terima,pemasukan
isi saldo jajanan 5000,pengeluaran
100k untuk tarik tunai jajanan,pengeluaran
duit masuk 250.000,pemasukan
1 juta buat wifi,pengeluaran
komisi 10 ribu,pemasukan
10 ribu untuk pengeluaran sepatu,pengeluaran
duit masuk 100k,pemasukan
50.000 untuk pengeluaran BBM,pengeluaran
10 ribu untuk tarik tunai nasi goreng,pengeluaran
duit masuk 10 ribu,pemasukan
5.000.000 buat baju,pengeluaran
gaji 250.000,pemasukan
10 ribu dari event sebagai pemasukan,pemasukan
1 juta dari proyek sebagai uang kembali,pemasukan
1 juta dari donatur sebagai pemasukan,pemasukan
250.000 dari konten youtube sebagai menjual,pemasukan
donasi masuk 10 ribu,pemasukan
duit masuk 250.000,pemasukan
2jt untuk donasi keluar mobil,pengeluaran
dikasih 250.000,pemasukan
duit masuk 50.000,pemasukan
menang 10 ribu,pemasukan
750 ribu untuk tarik tunai listrik,pengeluaran
kirim 20rb,pengeluaran
duit masuk 50.000,pemasukan
2jt buat sepatu,pengeluaran
habis untuk baju 5000,pengeluaran
5.000.000 buat BBM,pengeluaran
tarik tunai 20rb,pengeluaran
100k untuk top up wifi,pengeluaran
kerja part-time menang 2jt,pemasukan
gaji uang 1 juta dari event,pemasukan
dapat 5000,pemasukan
1 juta buat mobil,pengeluaran
100k buat paket data,pengeluaran
5.000.000 untuk spend air,pengeluaran
membayar 750 ribu,pengeluaran
keluar duit 5.000.000,pengeluaran
proyek dapat 5000,pemasukan
menang 1 juta,pemasukan
20rb dari endorse sebagai dikasih,pemasukan
terima uang 5000 dari klien,pemasukan
top up 5.000.000,pengeluaran
20rb dari kerja part-time sebagai ditransfer,pemasukan
donasi masuk uang 2jt dari kerja part-time,pemasukan
keluar duit 5.000.000,pengeluaran
duit masuk 20rb,pemasukan
dikasih uang 50.000 dari orang tua,pemasukan
hadiah 10 ribu,pemasukan
membeli 100k,pengeluaran
dikasih 20rb,pemasukan
duit masuk 2jt,pemasukan
5.000.000 buat game online,pengeluaran
5000 dari freelance sebagai dapat,pemasukan
donatur uang kembali 750 ribu,pemasukan
100k untuk beli mobil,pengeluaran
5000 buat game online,pengeluaran
keluar duit 5.000.000,pengeluaran
5.000.000 untuk transfer pulsa,pengeluaran
hasil jual uang 5000 dari trading,pemasukan
50.000 untuk beli wifi,pengeluaran
keluar duit 10 ribu,pengeluaran
dapat uang 750 ribu dari freelance,pemasukan
komisi uang 5000 dari orang tua,pemasukan
keluar duit 250.000,pengeluaran
10 ribu dari toko sebagai donasi masuk,pemasukan
keluar duit 10 ribu,pengeluaran
duit masuk 50.000,pemasukan
50.000 untuk pengeluaran sepatu,pengeluaran
tarik tunai 20rb,pengeluaran
5.000.000 dari kerja part-time sebagai menerima,pemasukan
menjual uang 10 ribu dari investasi,pemasukan
keluar duit 20rb,pengeluaran
donasi keluar 5000,pengeluaran
menjual 1 juta,pemasukan
10 ribu buat mobil,pengeluaran
transfer 5.000.000,pengeluaran
10 ribu untuk beli baju,pengeluaran
orang tua hasil jual 5000,pemasukan
5000 buat baju,pengeluaran
750 ribu untuk sumbangan pulsa,pengeluaran
duit masuk 250.000,pemasukan
membayar 10 ribu,pengeluaran
uang kembali 5.000.000,pemasukan
5000 dari klien sebagai hasil jual,pemasukan
duit masuk 250.000,pemasukan
5000 dari freelance sebagai hadiah,pemasukan
spend 750 ribu,pengeluaran
konten youtube menerima 250.000,pemasukan
100k buat listrik,pengeluaran
donasi keluar nasi goreng 5000,pengeluaran
freelance pendapatan 5.000.000,pemasukan
pengeluaran handphone 5.000.000,pengeluaran
keluar duit 250.000,pengeluaran
bos uang kembali 50.000,pemasukan
hadiah 100k,pemasukan
duit masuk 10 ribu,pemasukan
ongkos 5000,pengeluaran
20rb buat nasi goreng,pengeluaran
duit masuk 250.000,pemasukan
2jt dari event sebagai terima,pemasukan
terima uang 20rb dari endorse,pemasukan
transfer pulsa 5000,pengeluaran
membayar BBM 2jt,pengeluaran
spend 20rb,pengeluaran
100k buat BBM,pengeluaran
bonus 250.000,pemasukan
20rb dari event sebagai pendapatan,pemasukan
pengeluaran 2jt,pengeluaran
dapat 2jt,pemasukan
5000 untuk transfer nasi goreng,pengeluaran
keluar duit 1 juta,pengeluaran
dikasih 2jt,pemasukan
100k buat air,pengeluaran
1 juta dari toko sebagai bonus,pemasukan
bonus uang 20rb dari proyek,pemasukan
pengeluaran baju 10 ribu,pengeluaran
duit masuk 100k,pemasukan
750 ribu buat pulsa,pengeluaran
2jt untuk ongkos paket data,pengeluaran
uang kembali uang 50.000 dari kerja part-time,pemasukan
5.000.000 buat ayam geprek,pengeluaran
keluar duit 100k,pengeluaran
donasi masuk 1 juta,pemasukan
duit masuk 50.000,pemasukan
duit masuk 2jt,pemasukan
750 ribu dari freelance sebagai hasil jual,pemasukan
hadiah uang 100k dari proyek,pemasukan
duit masuk 10 ribu,pemasukan
narik uang komputer 1 juta,pengeluaran
keluar duit 5000,pengeluaran
duit masuk 750 ribu,pemasukan
2jt untuk membayar ayam geprek,pengeluaran
transfer masuk uang 10 ribu dari konten youtube,pemasukan
keluar duit 20rb,pengeluaran
keluar duit 2jt,pengeluaran
habis untuk 10 ribu,pengeluaran
keluar uang buku 2jt,pengeluaran
1 juta buat game online,pengeluaran
1 juta dari trading sebagai refund,pemasukan
duit masuk 5.000.000,pemasukan
toko menerima 2jt,pemasukan
tarik tunai 750 ribu,pengeluaran
50.000 dari jualan online sebagai donasi masuk,pemasukan
10 ribu buat nasi goreng,pengeluaran
spend token listrik 250.000,pengeluaran
bos pendapatan 1 juta,pemasukan
20rb buat pulsa,pengeluaran
750 ribu untuk keluar uang handphone,pengeluaran
bos dapat 5.000.000,pemasukan
beli 250.000,pengeluaran
narik uang 250.000,pengeluaran
habis untuk buku 5.000.000,pengeluaran
hasil jual 250.000,pemasukan
100k dari orang tua sebagai komisi,pemasukan
50.000 dari investasi sebagai hadiah,pemasukan
sumbangan 100k,pengeluaran
2jt buat paket data,pengeluaran
750 ribu untuk narik uang motor,pengeluaran
duit masuk 10 ribu,pemasukan
2jt buat game online,pengeluaran
biaya 2jt,pengeluaran
duit masuk 1 juta,pemasukan
hadiah uang 5000 dari proyek,pemasukan
250.000 dari trading sebagai menerima,pemasukan
keluar duit 5000,pengeluaran
gaji 5000,pemasukan
ditransfer 5.000.000,pemasukan
konten youtube transfer masuk 50.000,pemasukan
100k dari endorse sebagai refund,pemasukan
hadiah uang 1 juta dari event,pemasukan
bayar 250.000,pengeluaran
narik uang 5000,pengeluaran
750 ribu buat game online,pengeluaran
duit masuk 1 juta,pemasukan
duit masuk 1 juta,pemasukan
100k buat listrik,pengeluaran
donatur menerima 20rb,pemasukan
750 ribu buat wifi,pengeluaran
proyek uang kembali 50.000,pemasukan
event dikasih 250.000,pemasukan
ditransfer uang 10 ribu dari teman,pemasukan
5.000.000 buat mobil,pengeluaran
50.000 buat paket data,pengeluaran
keluar uang 50.000,pengeluaran
teman dapat 50.000,pemasukan
investasi transfer masuk 100k,pemasukan
duit masuk 20rb,pemasukan
5.000.000 untuk transfer baju,pengeluaran
250.000 untuk keluar uang listrik,pengeluaran
5.000.000 dari trading sebagai bonus,pemasukan
keluar duit 50.000,pengeluaran
keluar duit 750 ribu,pengeluaran
terima 5.000.000,pemasukan
2jt buat game online,pengeluaran
hadiah uang 2jt dari jualan online,pemasukan
sumbangan BBM 20rb,pengeluaran
2jt dari bos sebagai menjual,pemasukan
kirim 2jt,pengeluaran
transfer 5.000.000,pengeluaran
membeli jajanan 10 ribu,pengeluaran
pengeluaran paket data 5.000.000,pengeluaran
ditransfer uang 20rb dari kerja part-time,pemasukan
keluar duit 2jt,pengeluaran
menerima 10 ribu,pemasukan
duit masuk 2jt,pemasukan
5.000.000 dari donatur sebagai uang kembali,pemasukan
hadiah 250.000,pemasukan
duit masuk 20rb,pemasukan
kerja part-time terima 50.000,pemasukan
10 ribu dari konten youtube sebagai refund,pemasukan
membeli 750 ribu,pengeluaran
beli 50.000,pengeluaran
250.000 buat komputer,pengeluaran
keluar duit 20rb,pengeluaran
endorse bonus 10 ribu,pemasukan
keluar duit 750 ribu,pengeluaran
bayar 2jt,pengeluaran
narik uang 5.000.000,pengeluaran
sumbangan 750 ribu,pengeluaran
keluar duit 50.000,pengeluaran
donasi masuk uang 5.000.000 dari endorse,pemasukan
1 juta buat motor,pengeluaran
50.000 dari endorse sebagai pendapatan,pemasukan
duit masuk 1 juta,pemasukan
keluar duit 250.000,pengeluaran
keluar duit 5000,pengeluaran
membayar tas 5000,pengeluaran
20rb dari jualan online sebagai pendapatan,pemasukan
transfer 100k,pengeluaran
50.000 untuk spend paket data,pengeluaran
ditransfer 1 juta,pemasukan
hasil jual 750 ribu,pemasukan
bonus uang 2jt dari event,pemasukan
terima 2jt,pemasukan
50.000 dari investasi sebagai pemasukan,pemasukan
dapat 5000,pemasukan
tarik tunai pulsa 100k,pengeluaran
20rb buat paket data,pengeluaran
10 ribu untuk membayar paket data,pengeluaran
1 juta buat buku,pengeluaran
keluar duit 5000,pengeluaran
donatur uang kembali 50.000,pemasukan
habis untuk wifi 10 ribu,pengeluaran
freelance menjual 50.000,pemasukan
jualan online pendapatan 20rb,pemasukan
kirim mobil 50.000,pengeluaran
spend game online 250.000,pengeluaran
ditransfer uang 5000 dari jualan online,pemasukan
donasi keluar 1 juta,pengeluaran
membeli 750 ribu,pengeluaran
5.000.000 buat baju,pengeluaran
5000 buat ayam geprek,pengeluaran
250.000 buat jajanan,pengeluaran
duit masuk 5.000.000,pemasukan
ongkos 20rb,pengeluaran
hadiah uang 100k dari trading,pemasukan
spend sepatu 100k,pengeluaran
duit masuk 50.000,pemasukan
duit masuk 100k,pemasukan
menang 20rb,pemasukan
duit masuk 10 ribu,pemasukan
pemasukan uang 10 ribu dari proyek,pemasukan
biaya BBM 50.000,pengeluaran
dikasih uang 5.000.000 dari klien,pemasukan
endorse ditransfer 5000,pemasukan
1 juta buat jajanan,pengeluaran
keluar duit 1 juta,pengeluaran
duit masuk 2jt,pemasukan
trading uang kembali 2jt,pemasukan
klien hasil jual 750 ribu,pemasukan
komisi uang 100k dari teman,pemasukan
50.000 buat motor,pengeluaran
membayar 2jt,pengeluaran
keluar duit 50.000,pengeluaran
100k buat jajanan,pengeluaran
keluar duit 2jt,pengeluaran
750 ribu untuk beli wifi,pengeluaran
keluar duit 10 ribu,pengeluaran
keluar duit 100k,pengeluaran
bayar 5000,pengeluaran
